Symbol,Company Name,"Industry<path fill-rule=""evenodd"" d=""M14.707 12.707a1 1 0 01-1.414 0L10 9.414l-3.293 3.293a1 1 0 01-1.414-1.414l4-4a1 1 0 011.414 0l4 4a1 1 0 010 1.414z"" clip-rule=""evenodd"">",Market Cap
ADV,Advantage Solutions,Advertising Agencies,2.81B
BAOS,Baosheng Media Group,Advertising Agencies,45.94M
CPOP,Pop Culture Group,Advertising Agencies,75.13M
DMS,Digital Media Solutions,Advertising Agencies,410.93M
IAS,Integral Ad Science Holding,Advertising Agencies,3.55B
STGW,Stagwell,Advertising Agencies,2.56B
TRKA,Troika Media Group,Advertising Agencies,90.20M
TRMR,Tremor International,Advertising Agencies,1.49B
WIMI,WiMi Hologram Cloud,Advertising Agencies,473.28M
AIR,AAR Corp.,Aerospace & Defense,1.29B
AIRI,Air Industries Group,Aerospace & Defense,34.00M
AJRD,Aerojet Rocketdyne,Aerospace & Defense,3.59B
ARNC,Arconic,Aerospace & Defense,3.34B
ASTC,Astrotech,Aerospace & Defense,52.91M
ASTR,Astra Space,Aerospace & Defense,2.58B
ATRO,Astronics Corporation,Aerospace & Defense,419.40M
AVAV,AeroVironment,Aerospace & Defense,2.27B
AXON,Axon Enterprise,Aerospace & Defense,11.87B
BA,Boeing,Aerospace & Defense,126.11B
BWXT,BWX Technologies,Aerospace & Defense,5.48B
BYRN,Byrna Technologies,Aerospace & Defense,385.85M
CAE,CAE Inc.,Aerospace & Defense,9.74B
CVU,CPI Aerostructures,Aerospace & Defense,39.70M
CW,Curtiss-Wright,Aerospace & Defense,5.25B
DCO,Ducommun,Aerospace & Defense,596.02M
DPRO,Draganfly,Aerospace & Defense,120.85M
EH,EHang Holdings,Aerospace & Defense,1.40B
ERJ,Embraer,Aerospace & Defense,2.91B
ESLT,Elbit Systems,Aerospace & Defense,6.95B
GD,General Dynamics,Aerospace & Defense,56.37B
HEI,HEICO Corporation,Aerospace & Defense,17.56B
HEI.A,HEICO Corporation,Aerospace & Defense,17.58B
HII,Huntington Ingalls Industries,Aerospace & Defense,8.11B
HWM,Howmet Aerospace,Aerospace & Defense,13.08B
HXL,Hexcel Corporation,Aerospace & Defense,4.95B
ISSC,Innovative Solutions & Support,Aerospace & Defense,117.45M
KTOS,Kratos Defense & Security Solutions,Aerospace & Defense,2.80B
LHX,L3Harris Technologies,Aerospace & Defense,44.48B
LILM,Lilium,Aerospace & Defense,2.73B
LMT,Lockheed Martin,Aerospace & Defense,91.27B
MAXR,Maxar Technologies,Aerospace & Defense,1.96B
MICT,"MICT, Inc.",Aerospace & Defense,170.08M
MNTS,Momentus,Aerospace & Defense,839.73M
MOG.A,Moog Inc.,Aerospace & Defense,2.45B
MOG.B,Moog Inc.,Aerospace & Defense,2.46B
MRCY,Mercury Systems,Aerospace & Defense,2.99B
NOC,Northrop Grumman,Aerospace & Defense,56.26B
NPK,National Presto Industries,Aerospace & Defense,594.14M
PKE,Park Aerospace,Aerospace & Defense,273.12M
PSN,Parsons,Aerospace & Defense,3.63B
RADA,RADA Electronic Industries,Aerospace & Defense,520.63M
RDW,Redwire,Aerospace & Defense,758.89M
RKLB,Rocket Lab USA,Aerospace & Defense,6.40B
RTX,Raytheon Technologies,Aerospace & Defense,132.54B
SGLB,Sigma Labs,Aerospace & Defense,31.50M
SIF,SIFCO Industries,Aerospace & Defense,48.32M
SPCE,Virgin Galactic,Aerospace & Defense,5.03B
SPR,Spirit AeroSystems,Aerospace & Defense,4.56B
TATT,TAT Technologies,Aerospace & Defense,58.27M
TDG,TransDigm Group,Aerospace & Defense,34.75B
TDY,Teledyne Technologies,Aerospace & Defense,21.03B
TGI,Triumph Group,Aerospace & Defense,1.39B
TXT,Textron,Aerospace & Defense,16.44B
VEC,Vectrus,Aerospace & Defense,581.55M
VTSI,VirTra,Aerospace & Defense,88.49M
BHIL,Benson Hill,Agricultural Inputs,1.08B
SVFD,Save Foods,Agricultural Inputs,18.98M
AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,2.42B
AIRT,Air T,Air Freight & Logistics,76.48M
ATSG,Air Transport Services Group,Air Freight & Logistics,1.86B
BEST,BEST Inc.,Air Freight & Logistics,509.07M
CHRW,C.H. Robinson,Air Freight & Logistics,12.64B
ECHO,Echo Global Logistics,Air Freight & Logistics,1.28B
EXPD,Expeditors International,Air Freight & Logistics,21.38B
FDX,FedEx,Air Freight & Logistics,62.60B
FWRD,Forward Air,Air Freight & Logistics,2.85B
HUBG,Hub Group,Air Freight & Logistics,2.81B
RLGT,Radiant Logistics,Air Freight & Logistics,353.42M
UPS,United Parcel Service,Air Freight & Logistics,183.70B
XPO,XPO Logistics,Air Freight & Logistics,9.96B
ZTO,ZTO Express (Cayman) Inc.,Air Freight & Logistics,25.22B
AAL,American Airlines,Airlines,12.80B
ALGT,Allegiant Travel,Airlines,3.23B
ALK,Alaska Air Group,Airlines,6.86B
AZUL,Azul S.A.,Airlines,1.67B
CEA,China Eastern Airlines,Airlines,10.39B
CPA,Copa Holdings,Airlines,3.18B
DAL,Delta Air Lines,Airlines,25.87B
GOL,GOL Linhas Aereas Inteligentes,Airlines,1.16B
HA,Hawaiian Holdings,Airlines,1.03B
JBLU,JetBlue Airways,Airlines,4.65B
LUV,Southwest Airlines,Airlines,29.08B
MESA,Mesa Air Group,Airlines,280.31M
RYAAY,Ryanair Holdings,Airlines,26.25B
SAVE,Spirit Airlines,Airlines,2.48B
SKYW,Sky West,Airlines,2.20B
SNCY,Sun Country Airlines Holdings,Airlines,1.80B
UAL,United Airlines,Airlines,15.56B
ULCC,Frontier Group Holdings,Airlines,3.45B
VLRS,Controladora Vuela Compania de Aviacion,Airlines,2.16B
ZNH,China Southern Airlines,Airlines,15.47B
ASLE,AerSale,Airports & Air Services,1.02B
BLDE,Blade Air Mobility,Airports & Air Services,692.19M
JOBY,Joby Aviation,Airports & Air Services,5.73B
UP,Wheels Up,Airports & Air Services,1.81B
FIGS,FIGS,Apparel Manufacturing,5.56B
CURV,Torrid Holdings,Apparel Retail,1.77B
DBGI,Digital Brands Group,Apparel Retail,48.24M
ONON,On Holding,Apparel Retail,12.24B
VSCO,Victoria's Secret & Co.,Apparel Retail,4.40B
BUR,Burford Capital,Asset Management,2.34B
CCAP,Crescent Capital BDC,Asset Management,558.84M
CET,Central Securities,Asset Management,1.15B
CION,CĪON Investment,Asset Management,1.44B
CIXX,CI Financial,Asset Management,4.60B
FCRD,First Eagle Alternative Capital,Asset Management,142.72M
FHI,Federated Hermes,Asset Management,3.37B
GCMG,GCM Grosvenor,Asset Management,496.38M
JXN,Jackson Financial,Asset Management,2.58B
LGHL,Lion Group Holding,Asset Management,81.48M
LRFC,Logan Ridge Finance,Asset Management,68.45M
OCCI,OFS Credit Company,Asset Management,110.12M
OWL,Blue Owl Capital,Asset Management,6.28B
PAX,Patria Investments,Asset Management,2.48B
STEP,StepStone Group,Asset Management,2.50B
TRIN,Trinity Capital,Asset Management,435.50M
TYG,Tortoise Energy Infrastructure,Asset Management,364.99M
VINP,Vinci Partners Investments,Asset Management,708.33M
DRVN,Driven Brands,Auto & Truck Dealerships,5.44B
JZXN,Jiuzi Holdings,Auto & Truck Dealerships,49.07M
LOTZ,CarLotz,Auto & Truck Dealerships,450.13M
RUSHB,Rush Enterprises,Auto & Truck Dealerships,2.92B
ADNT,Adient,Auto Components,4.11B
ALV,Autoliv,Auto Components,8.56B
APTV,Aptiv,Auto Components,47.54B
AXL,American Axle & Manufacturing,Auto Components,1.07B
BWA,BorgWarner,Auto Components,11.17B
CAAS,China Automotive Systems,Auto Components,118.47M
CPS,Cooper-Standard Holdings,Auto Components,457.69M
CXDC,China XD Plastics,Auto Components,23.99M
DAN,Dana Incorporated,Auto Components,3.30B
DORM,Dorman Products,Auto Components,3.37B
FOXF,Fox Factory Holding,Auto Components,6.87B
FRSX,Foresight Autonomous,Auto Components,217.85M
GNTX,Gentex Corporation,Auto Components,8.59B
GT,Goodyear Tire & Rubber,Auto Components,5.78B
GTX,Garrett Motion,Auto Components,456.74M
HZN,Horizon Global,Auto Components,209.29M
KNDI,Kandi Technologies,Auto Components,349.19M
LCII,LCI Industries,Auto Components,3.59B
LEA,Lear Corporation,Auto Components,10.53B
MGA,Magna International,Auto Components,24.84B
MOD,Modine Manufacturing,Auto Components,582.22M
MPAA,Motorcar Parts of America,Auto Components,370.53M
QS,QuantumScape,Auto Components,12.58B
SMP,Standard Motor Products,Auto Components,1.08B
SRI,Stoneridge,Auto Components,532.16M
STRT,STRATTEC Security,Auto Components,140.42M
SUP,Superior Industries International,Auto Components,163.69M
SYPR,Sypris Solutions,Auto Components,83.59M
TEN,Tenneco,Auto Components,1.12B
THRM,Gentherm,Auto Components,2.57B
UFAB,Unique Fabricating,Auto Components,35.43M
VC,Visteon,Auto Components,3.21B
VNE,Veoneer,Auto Components,3.98B
WKHS,Workhorse Group,Auto Components,899.86M
XPEL,"XPEL, Inc.",Auto Components,2.19B
ARVL,Arrival,Auto Manufacturers,10.94B
AYRO,"AYRO, Inc.",Auto Manufacturers,115.72M
ELMS,Electric Last Mile,Auto Manufacturers,1.06B
FFIE,Faraday Future Intelligent Electric,Auto Manufacturers,2.86B
GOEV,Canoo,Auto Manufacturers,1.99B
GP,GreenPower Motor,Auto Manufacturers,318.46M
LCID,Lucid Group,Auto Manufacturers,59.10B
NKLA,Nikola,Auto Manufacturers,5.02B
PTRA,Proterra,Auto Manufacturers,2.43B
RIDE,Lordstown Motors,Auto Manufacturers,1.01B
VEV,Vicinity Motor,Auto Manufacturers,146.91M
VLCN,Volcon,Auto Manufacturers,144.56M
AEVA,Aeva Technologies,Auto Parts,1.76B
HLLY,Holley,Auto Parts,1.35B
HYLN,Hyliion,Auto Parts,1.44B
INVZ,Innoviz Technologies,Auto Parts,636.97M
LIDR,AEye,Auto Parts,830.69M
RMO,Romeo Power,Auto Parts,601.92M
WKSP,Worksport,Auto Parts,62.31M
XL,XL Fleet,Auto Parts,766.11M
F,Ford Motor,Automobiles,71.73B
FUV,Arcimoto,Automobiles,480.12M
GM,General Motors,Automobiles,80.56B
HMC,Honda Motor Company,Automobiles,52.45B
HOG,Harley-Davidson,Automobiles,6.12B
LI,Li Auto,Automobiles,34.53B
NIO,NIO Inc.,Automobiles,66.92B
NIU,Niu Technologies,Automobiles,2.06B
RACE,Ferrari,Automobiles,59.89B
SOLO,Electrameccanica Vehicles,Automobiles,442.54M
STLA,Stellantis,Automobiles,63.53B
THO,Thor Industries,Automobiles,5.88B
TM,Toyota Motor,Automobiles,249.45B
TSLA,Tesla,Automobiles,"1,213.74B"
TTM,Tata Motors,Automobiles,25.68B
WGO,Winnebago Industries,Automobiles,2.36B
XPEV,XPeng,Automobiles,41.06B
ABCB,Ameris Bancorp,Banks,3.76B
ABTX,Allegiance Bancshares,Banks,805.16M
ACBI,Atlantic Capital Bancshares,Banks,595.14M
ACNB,ACNB Corporation,Banks,244.46M
AFBI,Affinity Bancshares,Banks,98.07M
AMAL,Amalgamated Bank,Banks,590.84M
AMNB,American National Bankshares,Banks,405.92M
AMTB,Amerant Bancorp,Banks,1.01B
AMTBB,Amerant Bancorp,Banks,1.01B
AROW,Arrow Financial,Banks,582.31M
ASB,Associated Banc-Corp,Banks,3.44B
ASRV,AmeriServ Financial,Banks,67.45M
ATLO,Ames National,Banks,223.36M
AUB,Atlantic Union Bankshares,Banks,2.85B
AUBN,Auburn National Bancorporation,Banks,119.15M
AVAL,Grupo Aval Acciones y Valores,Banks,6.72B
BAC,Bank of America,Banks,394.34B
BANC,Banc of California,Banks,1.32B
BANF,BancFirst Corporation,Banks,2.19B
BANR,Banner Corporation,Banks,2.03B
BAP,Credicorp,Banks,10.71B
BBAR,Banco BBVA Argentina,Banks,780.12M
BBD,Banco Bradesco,Banks,35.17B
BBVA,Banco Bilbao Vizcaya Argentaria,Banks,48.58B
BCBP,BCB Bancorp,Banks,259.12M
BCH,Banco de Chile SA,Banks,9.08B
BCML,BayCom,Banks,206.66M
BCS,Barclays,Banks,47.01B
BFC,Bank First,Banks,553.95M
BFIN,BankFinancial Corporation,Banks,156.82M
BFST,Business First Bancshares,Banks,550.97M
BHB,Bar Harbor Bankshares,Banks,456.80M
BHLB,Berkshire Hills Bancorp,Banks,1.38B
BKSC,Bank of South Carolina,Banks,111.45M
BKU,BankUnited,Banks,3.79B
BMA,Banco Macro,Banks,1.01B
BMO,Bank of Montreal,Banks,71.20B
BMRC,Bank of Marin Bancorp,Banks,624.36M
BMTC,Bryn Mawr Bank,Banks,954.44M
BNS,Bank of Nova Scotia,Banks,80.55B
BOH,Bank of Hawaii,Banks,3.49B
BOKF,BOK Financial,Banks,7.25B
BOTJ,Bank of the James Financial,Banks,75.80M
BPOP,Popular,Banks,6.61B
BPRN,Bank of Princeton,Banks,200.44M
BRBS,Blue Ridge Bankshares,Banks,353.21M
BRKL,Brookline Bancorp,Banks,1.29B
BSAC,Banco Santander-Chile,Banks,8.58B
BSBR,Banco Santander Brasil,Banks,47.34B
BSMX,Banco Santander Mexico,Banks,8.56B
BSRR,Sierra Bancorp,Banks,397.79M
BSVN,Bank7 Corp.,Banks,242.35M
BUSE,First Busey,Banks,1.47B
BWFG,Bankwell Financial Group,Banks,237.72M
BY,Byline Bancorp,Banks,1.01B
C,Citigroup,Banks,138.13B
CAC,Camden National,Banks,722.27M
CADE,Cadence Bank,Banks,3.21B
CALB,California BanCorp,Banks,145.82M
CARE,Carter Bankshares,Banks,413.67M
CATC,Cambridge Bancorp,Banks,652.01M
CATY,Cathay General Bancorp,Banks,3.37B
CBAN,Colony Bankcorp,Banks,263.64M
CBFV,CB Financial Services,Banks,130.20M
CBNK,Capital Bancorp,Banks,357.06M
CBSH,Commerce Bancshares,Banks,8.44B
CBTX,"CBTX, Inc.",Banks,672.76M
CBU,Community Bank System,Banks,3.98B
CCB,Coastal Financial,Banks,467.70M
CCBG,Capital City Bank Group,Banks,460.60M
CCNE,CNB Financial,Banks,435.59M
CFB,CrossFirst Bankshares,Banks,746.17M
CFFI,C&F Financial,Banks,183.90M
CFG,Citizens Financial Group,Banks,20.44B
CFR,Cullen/Frost Bankers,Banks,8.62B
CHCO,City Holding Company,Banks,1.24B
CHMG,Chemung Financial,Banks,217.15M
CIB,Bancolombia,Banks,8.74B
CIT,CIT Group,Banks,5.12B
CIVB,Civista Bancshares,Banks,379.83M
CIZN,Citizens Holding Company,Banks,100.77M
CLDB,Cortland Bancorp,Banks,124.07M
CM,Canadian Imperial Bank of Commerce,Banks,55.07B
CMA,Comerica,Banks,11.43B
CNBKA,Century Bancorp,Banks,512.68M
CNOB,ConnectOne Bancorp,Banks,1.37B
COFS,ChoiceOne Financial Services,Banks,193.96M
COLB,Columbia Banking System,Banks,2.75B
CPF,Central Pacific Financial,Banks,788.12M
CSTR,CapStar Financial Holdings,Banks,489.64M
CTBI,Community Trust Bancorp,Banks,798.75M
CUBI,Customers Bancorp,Banks,1.77B
CULL,Cullman Bancorp,Banks,94.05M
CVBF,CVB Financial,Banks,2.81B
CVCY,Central Valley Community Bancorp,Banks,259.54M
CVLY,Codorus Valley Bancorp,Banks,215.52M
CWBC,Community West Bancshares,Banks,112.26M
CYN,Cyngn,Banks,194.56M
CZNC,Citizens & Northern,Banks,411.08M
CZWI,Citizens Community Bancorp,Banks,144.53M
EBC,Eastern Bankshares,Banks,3.93B
EBMT,Eagle Bancorp Montana,Banks,152.88M
EBTC,Enterprise Bancorp,Banks,446.90M
EFSC,Enterprise Financial Services,Banks,1.87B
EGBN,Eagle Bancorp - Maryland,Banks,1.88B
EMCF,Emclaire Financial,Banks,73.80M
EQBK,Equity Bancshares,Banks,482.83M
ESQ,Esquire Financial Holdings,Banks,264.22M
ESXB,Community Bankers Trust,Banks,272.50M
EVBN,Evans Bancorp,Banks,218.04M
EWBC,East West Bancorp,Banks,11.69B
FBIZ,First Business Financial Services,Banks,256.19M
FBK,FB Financial,Banks,2.22B
FBMS,First Bancshares,Banks,862.24M
FBNC,First Bancorp,Banks,1.78B
FBP,First BanCorp - Puerto Rico,Banks,2.87B
FCAP,First Capital,Banks,135.43M
FCBC,First Community Bancshares,Banks,566.59M
FCCO,First Community,Banks,154.06M
FCCY,1st Constitution Bancorp,Banks,255.19M
FCF,First Commonwealth Financial,Banks,1.49B
FCNCA,First Citizens BancShares,Banks,8.24B
FDBC,Fidelity D&D Bancorp,Banks,290.03M
FFBC,First Financial Bancorp,Banks,2.31B
FFIC,Flushing Financial,Banks,750.64M
FFIN,First Financial Bankshares,Banks,7.38B
FFNW,First Financial Northwest,Banks,157.71M
FFWM,First Foundation,Banks,1.24B
FGBI,First Guaranty Bancshares,Banks,208.85M
FHB,First Hawaiian,Banks,3.68B
FHN,First Horizon National,Banks,9.39B
FIBK,First Interstate BancSystem,Banks,2.66B
FISI,Financial Institutions,Banks,522.62M
FITB,Fifth Third Bancorp,Banks,30.67B
FLIC,First of Long Island,Banks,486.68M
FMAO,Farmers & Merchants Bancorp,Banks,336.98M
FMBH,First Mid Bancshares,Banks,805.24M
FMBI,First Midwest Bancorp,Banks,2.27B
FMNB,Farmers National Banc,Banks,536.70M
FNB,F.N.B.,Banks,3.89B
FNCB,FNCB Bancorp,Banks,173.06M
FNLC,First Bancorp,Banks,328.69M
FNWB,First Northwest Bancorp,Banks,182.39M
FRAF,Franklin Financial Services,Banks,146.18M
FRBA,First Bank,Banks,290.47M
FRBK,Republic First Bancorp,Banks,181.37M
FRC,First Republic Bank,Banks,38.32B
FRME,First Merchants,Banks,2.30B
FRST,Primis Financial,Banks,381.34M
FSFG,First Savings Financial Group,Banks,196.67M
FULT,Fulton Financial,Banks,2.69B
FUNC,First United,Banks,126.93M
FUSB,First US Bancshares,Banks,66.72M
FVCB,FVCBankcorp,Banks,288.29M
FXNC,First National,Banks,138.67M
GABC,German American Bancorp,Banks,1.07B
GBCI,Glacier Bancorp,Banks,6.30B
GGAL,Grupo Financiero Galicia,Banks,3.34B
GLBZ,Glen Burnie Bancorp,Banks,33.59M
GNTY,Guaranty Bancshares,Banks,463.57M
GSBC,Great Southern Bancorp,Banks,769.92M
GWB,Great Western Bancorp,Banks,1.93B
HAFC,Hanmi Financial,Banks,700.77M
HBAN,Huntington Bancshares,Banks,23.55B
HBMD,Howard Bancorp,Banks,405.56M
HBNC,Horizon Bancorp,Banks,843.87M
HBT,HBT Financial,Banks,523.53M
HDB,HDFC Bank,Banks,134.52B
HFWA,Heritage Financial,Banks,891.83M
HOMB,Home Bancshares,Banks,4.09B
HONE,HarborOne Bancorp,Banks,791.03M
HOPE,Hope Bancorp,Banks,1.81B
HSBC,HSBC Holdings,Banks,126.41B
HTBI,HomeTrust Bancshares,Banks,505.13M
HTBK,Heritage Commerce,Banks,740.54M
HTH,Hilltop Holdings,Banks,2.98B
HTLF,Heartland Financial USA,Banks,2.17B
HWBK,Hawthorn Bancshares,Banks,160.46M
HWC,Hancock Whitney,Banks,4.44B
IBCP,Independent Bank,Banks,493.58M
IBN,ICICI Bank,Banks,74.83B
IBOC,International Bancshares,Banks,2.77B
IBTX,Independent Bank Group,Banks,3.19B
ICBK,County Bancorp,Banks,219.01M
INBK,First Internet Bancorp,Banks,343.42M
INDB,Independent Bank,Banks,2.89B
ING,ING Group,Banks,60.60B
ISBC,Investors Bancorp,Banks,3.86B
ISTR,Investar Holding,Banks,193.21M
ITCB,Itau Corpbanca,Banks,1.16B
ITUB,Itau Unibanco Holding,Banks,41.37B
JPM,JPMorgan Chase,Banks,501.81B
KB,KB Financial Group,Banks,19.15B
KEY,KeyCorp,Banks,21.97B
LARK,Landmark Bancorp,Banks,137.77M
LBAI,Lakeland Bancorp,Banks,941.28M
LCNB,LCNB Corporation,Banks,216.10M
LEVL,Level One Bancorp,Banks,247.81M
LKFN,Lakeland Financial,Banks,1.82B
LMST,Limestone Bancorp,Banks,138.90M
LOB,Live Oak Bancshares,Banks,3.96B
LYG,Lloyds Banking Group,Banks,49.92B
MBCN,Middlefield Banc,Banks,157.10M
MBWM,Mercantile Bank,Banks,558.45M
MCB,Metropolitan Bank Holding,Banks,991.51M
MCBC,Macatawa Bank,Banks,293.03M
MCBS,MetroCity Bankshares,Banks,596.40M
MFG,Mizuho Financial Group,Banks,34.23B
MLVF,Malvern Bancorp,Banks,127.75M
MNSB,MainStreet Bancshares,Banks,187.87M
MOFG,MidWestOne Financial Group,Banks,509.75M
MPB,Mid Penn Bancorp,Banks,334.66M
MRBK,Meridian,Banks,185.37M
MSBI,Midland States Bancorp,Banks,575.78M
MTB,M&T Bank,Banks,19.65B
MUFG,Mitsubishi UFJ Financial,Banks,72.38B
MVBF,MVB Financial,Banks,518.86M
MYFW,First Western Financial,Banks,236.34M
NBHC,National Bank Holdings,Banks,1.35B
NBN,Northeast Bank,Banks,269.15M
NBTB,NBT Bancorp,Banks,1.64B
NCBS,Nicolet Bankshares,Banks,883.40M
NKSH,National Bankshares,Banks,223.51M
NRIM,Northrim BanCorp,Banks,278.69M
NTB,Bank of N.T. Butterfield & Son,Banks,1.86B
NWFL,Norwood Financial,Banks,218.79M
NWG,NatWest Group,Banks,35.47B
OBNK,Origin Bancorp,Banks,1.07B
OFG,OFG Bancorp,Banks,1.32B
ONB,Old National Bancorp,Banks,2.93B
OPHC,OptimumBank Holdings,Banks,22.69M
OPOF,Old Point Financial,Banks,113.13M
ORRF,Orrstown Financial Services,Banks,268.47M
OSBC,Old Second Bancorp,Banks,394.73M
OVBC,Ohio Valley Banc,Banks,133.38M
OVLY,Oak Valley Bancorp,Banks,141.38M
OZK,Bank OZK,Banks,6.03B
PACW,PacWest Bancorp,Banks,5.89B
PB,Prosperity Bancshares,Banks,7.22B
PBCT,People's United,Banks,7.58B
PBHC,Pathfinder Bancorp,Banks,97.93M
PCB,PCB Bancorp,Banks,328.81M
PEBK,Peoples Bancorp of North Carolina,Banks,160.22M
PEBO,Peoples Bancorp,Banks,926.03M
PFBC,Preferred Bank,Banks,1.06B
PFHD,Professional Holding,Banks,252.33M
PFIS,Peoples Financial Services,Banks,337.82M
PGC,Peapack-Gladstone Financial,Banks,645.49M
PKBK,Parke Bancorp,Banks,264.03M
PLBC,Plumas Bancorp,Banks,217.85M
PNBK,Patriot National Bancorp,Banks,38.56M
PNC,PNC Financial Services,Banks,89.10B
PNFP,Pinnacle Financial Partners,Banks,7.60B
PPBI,Pacific Premier Bancorp,Banks,4.11B
PRK,Park National,Banks,2.17B
PTRS,Partners Bancorp,Banks,157.05M
PWOD,Penns Woods Bancorp,Banks,168.80M
QCRH,QCR Holdings,Banks,891.77M
RBB,RBB Bancorp,Banks,513.67M
RBCAA,Republic Bancorp,Banks,1.11B
RBNC,Reliant Bancorp,Banks,581.57M
RF,Regions Financial,Banks,23.05B
RIVE,Riverview Financial,Banks,129.29M
RMBI,Richmond Mutual Bancorporation,Banks,197.99M
RNST,Renasant,Banks,2.19B
RRBI,Red River Bancshares,Banks,389.95M
RY,Royal Bank of Canada,Banks,149.34B
SAL,Salisbury Bancorp,Banks,148.86M
SAN,Banco Santander,Banks,68.24B
SASR,Sandy Spring Bancorp,Banks,2.27B
SBCF,Seacoast Banking Corporation of Florida,Banks,2.20B
SBFG,SB Financial Group,Banks,132.94M
SBNY,Signature Bank,Banks,18.86B
SBSI,Southside Bancshares,Banks,1.37B
SFBC,Sound Financial Bancorp,Banks,112.08M
SFBS,ServisFirst Bancshares,Banks,4.38B
SFNC,Simmons First National,Banks,3.59B
SFST,Southern First Bancshares,Banks,431.73M
SHBI,Shore Bancshares,Banks,222.25M
SHG,Shinhan Financial Group,Banks,17.09B
SI,Silvergate Capital,Banks,5.05B
SIVB,SVB Financial Group,Banks,42.72B
SMBK,SmartFinancial,Banks,442.38M
SMFG,Sumitomo Mitsui Financial Group,Banks,46.20B
SMMF,Summit Financial Group,Banks,343.29M
SNV,Synovus Financial,Banks,7.03B
SPFI,South Plains Financial,Banks,474.83M
SRCE,1st Source,Banks,1.23B
SSB,South State Corporation,Banks,5.79B
SSBI,Summit State Bank,Banks,115.89M
STBA,S&T Bancorp,Banks,1.25B
STL,Sterling Bancorp,Banks,5.13B
STXB,Spirit of Texas Bancshares,Banks,428.03M
SUPV,Grupo Supervielle,Banks,426.61M
SYBT,Stock Yards Bancorp,Banks,1.65B
TBBK,"The Bancorp, Inc.",Banks,1.77B
TBK,Triumph Bancorp,Banks,3.01B
TCBI,Texas Capital Bancshares,Banks,3.20B
TCBK,TriCo Bancshares,Banks,1.35B
TCFC,Community Financial Corporation,Banks,223.12M
TD,Toronto-Dominion Bank,Banks,133.54B
TFC,Truist Financial,Banks,86.01B
THFF,First Financial Corporation,Banks,562.37M
TMP,Tompkins Financial,Banks,1.25B
TOWN,TowneBank,Banks,2.37B
TRMK,Trustmark,Banks,2.06B
TSC,TriState Capital Holdings,Banks,1.00B
UBCP,United Bancorp,Banks,87.71M
UBFO,United Security Bancshares,Banks,133.87M
UBOH,United Bancshares,Banks,95.51M
UBSI,United Bankshares,Banks,4.97B
UCBI,United Community Banks,Banks,3.21B
UMBF,UMB Financial,Banks,4.91B
UMPQ,Umpqua Holdings,Banks,4.56B
UNB,Union Bankshares,Banks,144.51M
UNTY,Unity Bancorp,Banks,272.55M
USB,U.S. Bancorp,Banks,90.12B
UVSP,Univest Financial,Banks,879.73M
VABK,Virginia National Bankshares,Banks,188.38M
VBFC,Village Bank & Trust Financial,Banks,79.91M
VBTX,Veritex Holdings,Banks,2.12B
VLY,Valley National Bancorp,Banks,5.75B
WABC,Westamerica Bancorporation,Banks,1.52B
WAL,Western Alliance Bancorporation,Banks,12.50B
WASH,Washington Trust Bancorp,Banks,965.09M
WBK,Westpac Banking,Banks,65.24B
WBS,Webster Financial,Banks,5.27B
WF,Woori Financial Group,Banks,8.25B
WFC,Wells Fargo,Banks,206.68B
WSBC,WesBanco,Banks,2.25B
WTBA,West Bancorporation,Banks,528.59M
WTFC,Wintrust Financial,Banks,5.23B
ZION,Zions Bancorporation,Banks,10.05B
BLFY,Blue Foundry Bancorp,Banks-Regional,399.89M
CLST,Catalyst Bancorp,Banks-Regional,72.68M
CNNB,Cincinnati Bancorp,Banks-Regional,43.93M
FSBC,Five Star Bancorp,Banks-Regional,471.12M
GBNY,Generations Bancorp NY,Banks-Regional,28.27M
IFS,Intercorp Financial Services,Banks-Regional,3.28B
OBT,Orange County Bancorp,Banks-Regional,209.43M
PBBK,PB Bankshares,Banks-Regional,38.52M
SSBK,Southern States Bancshares,Banks-Regional,177.37M
TCBC,TC Bancshares,Banks-Regional,67.60M
TCBS,Texas Community Bancshares,Banks-Regional,50.43M
USCB,U.S. Century Bank,Banks-Regional,244.35M
VBNK,VersaBank,Banks-Regional,251.58M
ABEV,Ambev,Beverages,48.90B
BEAM,Beam Therapeutics,Beverages,6.27B
BF.A,Brown-Forman,Beverages,33.25B
BF.B,Brown-Forman,Beverages,33.29B
BUD,Anheuser-Busch InBev,Beverages,108.36B
CCEP,Coca-Cola European Partners,Beverages,24.85B
CCU,Cia Cervecerias Unidas,Beverages,3.22B
CELH,Celsius Holdings,Beverages,7.55B
COKE,Coca-Cola Consolidated,Beverages,3.88B
DEO,Diageo,Beverages,117.69B
EAST,Eastside Distilling,Beverages,39.44M
FIZZ,National Beverage,Beverages,5.32B
FMX,Fomento Economico Mexicano,Beverages,29.34B
KDP,Keurig Dr Pepper,Beverages,51.61B
KO,Coca-Cola,Beverages,242.62B
KOF,Coca-Cola Femsa,Beverages,11.77B
MGPI,MGP Ingredients,Beverages,1.45B
MNST,Monster Beverage,Beverages,45.20B
NBEV,NewAge,Beverages,210.65M
PEP,PepsiCo,Beverages,222.97B
PRMW,Primo Water,Beverages,2.60B
REED,Reed's,Beverages,62.99M
SAM,Boston Beer Company,Beverages,6.20B
