model,sample_size,solver,OLS_error_quad,error_quad,fo_value,time,time_process,n_betas,status,tau,kappa,lambda,alpha,theta
SOCP,500,MOSEK,0.329540164107406,4.062000813879233,62.35088615317389,0.2559299071629842,0.25286458333333334,28,converged,27.94312278416301,27.94312278416301,27.94312278416301,1.0,0.329540164107406
L_LASSO,500,MOSEK,0.329540164107406,4.061266754293484,62.339753314441,0.1430225968360901,0.6518229166666667,28,converged,27.94312278416301,27.94312278416301,27.94312278416301,1.0,0.329540164107406
SCIKIT_LASSO,500,coordinate descent,0.329540164107406,4.061136416526472,62.3397534878249,0.1459812084833781,0.140625,28,converged,27.94312278416301,27.94312278416301,1.0,0.329540164107406,
CG_LASSO_SOC1,500,MOSEK,0.329540164107406,4.061266754229205,62.33975329532241,0.039224521319071455,0.12526041666666668,28,converged,27.94312278416301,27.94312278416301,27.94312278416301,1.0,0.329540164107406
CG_LASSO_SOC1_v2,500,MOSEK,0.329540164107406,4.061266626693151,62.33975343523432,0.0397715171178182,0.12473958333333333,28,converged,27.94312278416301,27.94312278416301,27.94312278416301,1.0,0.329540164107406
CG_SOC1_upgrade,500,MOSEK,0.329540164107406,4.061266848047636,62.339753203898084,0.15626278320948284,0.25677083333333334,28,converged,27.94312278416301,27.94312278416301,27.94312278416301,1.0,0.329540164107406
SOCP,500,MOSEK,0.329540164107406,1.85999706963236,8.853861831531795,0.24379312594731647,0.23072916666666668,56,converged,3.0345314742092353,3.0345314742092353,3.0345314742092353,1.0,0.329540164107406
L_LASSO,500,MOSEK,0.329540164107406,1.8594664827410556,8.843005286628976,0.14404982328414917,0.6744791666666666,55,converged,3.0345314742092353,3.0345314742092353,3.0345314742092353,1.0,0.329540164107406
SCIKIT_LASSO,500,coordinate descent,0.329540164107406,1.8592991258701146,8.843005565359128,0.2794873595237732,0.2596354166666667,55,converged,3.0345314742092353,3.0345314742092353,1.0,0.329540164107406,
CG_LASSO_SOC1,500,MOSEK,0.329540164107406,1.8594680365712553,8.843005128861583,0.05647197167078654,0.15494791666666666,55,converged,3.0345314742092353,3.0345314742092353,3.0345314742092353,1.0,0.329540164107406
CG_LASSO_SOC1_v2,500,MOSEK,0.329540164107406,1.8594680276639446,8.84300516396561,0.05669804811477661,0.16067708333333333,55,converged,3.0345314742092353,3.0345314742092353,3.0345314742092353,1.0,0.329540164107406
CG_SOC1_upgrade,500,MOSEK,0.329540164107406,1.859465892668879,8.843004796892496,0.22743335564931233,0.34609375,55,converged,3.0345314742092353,3.0345314742092353,3.0345314742092353,1.0,0.329540164107406
SOCP,500,MOSEK,0.329540164107406,1.1758697061743113,3.897197723868267,0.24671871662139894,0.23125,87,converged,1.0,1.0,1.0,1.0,0.329540164107406
L_LASSO,500,MOSEK,0.329540164107406,1.175672794905224,3.8852878153250723,0.1479681650797526,0.6721354166666667,83,converged,1.0,1.0,1.0,1.0,0.329540164107406
SCIKIT_LASSO,500,coordinate descent,0.329540164107406,1.175753711079131,3.8852899125561398,0.7574393471082052,0.7278645833333334,83,converged,1.0,1.0,1.0,0.329540164107406,
CG_LASSO_SOC1,500,MOSEK,0.329540164107406,1.175672250961482,3.8852874912862716,0.0730682651201884,0.19088541666666667,84,converged,1.0,1.0,1.0,1.0,0.329540164107406
CG_LASSO_SOC1_v2,500,MOSEK,0.329540164107406,1.175669857065579,3.885287890805733,0.07435654799143473,0.19635416666666666,83,converged,1.0,1.0,1.0,1.0,0.329540164107406
CG_SOC1_upgrade,500,MOSEK,0.329540164107406,1.175661900597955,3.885287426522007,0.30618664423624675,0.43515625,84,converged,1.0,1.0,1.0,1.0,0.329540164107406
SOCP,500,MOSEK,0.329540164107406,0.7179555449577402,1.8844063608776898,0.24303343693415325,0.23020833333333332,116,converged,0.329540164107406,0.329540164107406,0.329540164107406,1.0,0.329540164107406
L_LASSO,500,MOSEK,0.329540164107406,0.7169813288934761,1.8718818083903503,0.1448965112368266,0.6700520833333333,116,converged,0.329540164107406,0.329540164107406,0.329540164107406,1.0,0.329540164107406
SCIKIT_LASSO,500,coordinate descent,0.329540164107406,0.7171342476457405,1.8718866338800138,1.9021412491798402,1.8158854166666667,116,converged,0.329540164107406,0.329540164107406,1.0,0.329540164107406,
CG_LASSO_SOC1,500,MOSEK,0.329540164107406,0.716974551720789,1.8718813976738704,0.12189449469248453,0.26197916666666665,115,converged,0.329540164107406,0.329540164107406,0.329540164107406,1.0,0.329540164107406
CG_LASSO_SOC1_v2,500,MOSEK,0.329540164107406,0.7169782832643359,1.871881751928099,0.09669419924418131,0.22994791666666667,116,converged,0.329540164107406,0.329540164107406,0.329540164107406,1.0,0.329540164107406
CG_SOC1_upgrade,500,MOSEK,0.329540164107406,0.7169814798543019,1.8718816476332927,0.4210618257522583,0.559375,116,converged,0.329540164107406,0.329540164107406,0.329540164107406,1.0,0.329540164107406
SOCP,500,MOSEK,0.329540164107406,0.3790132751420136,0.6272964418628216,0.2521482507387797,0.24010416666666667,206,converged,0.035786980851215316,0.035786980851215316,0.035786980851215316,1.0,0.329540164107406
L_LASSO,500,MOSEK,0.329540164107406,0.3754676729459739,0.6114026403578549,0.14549434185028076,0.6622395833333333,207,converged,0.035786980851215316,0.035786980851215316,0.035786980851215316,1.0,0.329540164107406
SCIKIT_LASSO,500,coordinate descent,0.329540164107406,0.3755204149374517,0.6114145523247837,11.044891134897869,10.540625,207,converged,0.035786980851215316,0.035786980851215316,1.0,0.329540164107406,
CG_LASSO_SOC1,500,MOSEK,0.329540164107406,0.3754685638617821,0.6114025799644063,0.21206300656000773,0.34739583333333335,207,converged,0.035786980851215316,0.035786980851215316,0.035786980851215316,1.0,0.329540164107406
CG_LASSO_SOC1_v2,500,MOSEK,0.329540164107406,0.3754685825734493,0.6114025784860155,0.2162203590075175,0.34609375,207,converged,0.035786980851215316,0.035786980851215316,0.035786980851215316,1.0,0.329540164107406
CG_SOC1_upgrade,500,MOSEK,0.329540164107406,0.3754686273838446,0.6114025756605017,1.1867897272109986,1.2919270833333334,207,converged,0.035786980851215316,0.035786980851215316,0.035786980851215316,1.0,0.329540164107406
SOCP,1000,MOSEK,0.07399280178672782,1776.2398321476855,3223.6886352749448,0.9462844689687093,0.90546875,3,converged,2468.491195582154,2468.491195582154,2468.491195582154,1.0,0.07399280178672782
L_LASSO,1000,MOSEK,0.07399280178672782,1776.2309942752938,3223.69213226752,0.20465842882792154,0.53203125,8,converged,2468.491195582154,2468.491195582154,2468.491195582154,1.0,0.07399280178672782
SCIKIT_LASSO,1000,coordinate descent,0.07399280178672782,1776.2339200437589,3223.6875068988766,0.017044309775034586,0.01484375,3,converged,2468.491195582154,2468.491195582154,1.0,0.07399280178672782,
