model,sample_size,solver,OLS_error_quad,error_quad,fo_value,time,time_process,n_betas,status,tau,kappa,lambda,alpha,theta
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,1776.3596495214395,3223.6857766742596,0.10900118748346964,0.14661458333333333,43,converged,24684911.95582154,0.2468491195582154,2468.491195582154,0.0001,0.07399280178672782
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,1776.25896559128,3223.687482866866,0.10979175170262655,0.14140625,4,converged,246849.1195582154,24.68491195582154,2468.491195582154,0.01,0.07399280178672782
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,1776.2329700550124,3223.6874884584204,0.10621605316797893,0.13880208333333333,4,converged,2468.491195582154,2468.491195582154,2468.491195582154,1.0,0.07399280178672782
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,1776.2341006447743,3223.6875059522354,0.1366184910138448,0.1828125,3,converged,24.68491195582154,246849.1195582154,2468.491195582154,100.0,0.07399280178672782
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,1776.226215883762,3223.6877890627884,0.1384320576985677,0.18723958333333332,50,converged,0.2468491195582154,24684911.95582154,2468.491195582154,10000.0,0.07399280178672782
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,1.4039561308373532,29.702834560785654,0.572067129611969,0.7291666666666666,134,converged,135148.2814345018,0.0013514828143450183,13.514828143450181,0.0001,0.07399280178672782
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,1.4039304750867052,29.702985143095397,0.38236289819081626,0.48046875,56,converged,1351.4828143450181,0.1351482814345018,13.514828143450181,0.01,0.07399280178672782
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,1.403901002282455,29.702987589862303,0.399656077226003,0.4942708333333333,54,converged,13.514828143450181,13.514828143450181,13.514828143450181,1.0,0.07399280178672782
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,1.403913650334411,29.702988571822267,0.42314576307932533,0.55546875,54,converged,0.1351482814345018,1351.4828143450181,13.514828143450181,100.0,0.07399280178672782
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,1.4041361326285475,29.70292076764151,0.45383569796880086,0.5994791666666667,113,converged,0.001351482814345018,135148.2814345018,13.514828143450181,10000.0,0.07399280178672782
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,0.5234041297681316,2.8716449564850164,0.9581693609555563,1.1440104166666667,196,converged,10000.0,0.0001,1.0,0.0001,0.07399280178672782
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,0.5240656803885665,2.8715007056821413,0.6049241582552592,0.7486979166666666,113,converged,100.0,0.01,1.0,0.01,0.07399280178672782
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,0.5240853680823038,2.87150034355391,0.5048143426577251,0.6247395833333333,107,converged,1.0,1.0,1.0,1.0,0.07399280178672782
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,0.5240587425057275,2.8715006150463918,0.8470778743426005,1.01875,110,converged,0.01,100.0,1.0,100.0,0.07399280178672782
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,0.5237071769187627,2.8715666193044562,0.715780238310496,0.8895833333333333,173,converged,0.0001,10000.0,1.0,10000.0,0.07399280178672782
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,0.16832146719833166,0.4391358593834362,3.3503273367881774,3.7075520833333333,320,converged,739.9280178672782,7.3992801786727825e-06,0.07399280178672782,0.0001,0.07399280178672782
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,0.1687009136057374,0.439119171544222,1.7372041900952657,1.9911458333333334,243,converged,7.3992801786727815,0.0007399280178672782,0.07399280178672782,0.01,0.07399280178672782
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,0.16870224743832093,0.4391191165940219,1.7214084188143413,1.96796875,242,converged,0.07399280178672782,0.07399280178672782,0.07399280178672782,1.0,0.07399280178672782
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,0.16869765245817386,0.4391191469435,3.1703296740849813,3.3697916666666665,244,converged,0.0007399280178672782,7.3992801786727815,0.07399280178672782,100.0,0.07399280178672782
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,0.168396391745303,0.4391416291942316,1.8234124819437663,1.9791666666666667,336,converged,7.399280178672782e-06,739.9280178672782,0.07399280178672782,10000.0,0.07399280178672782
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,0.07412799935309826,0.07868762314295284,20.146482602755228,21.536979166666665,535,converged,4.051057592547605,4.051057592547605e-08,0.0004051057592547605,0.0001,0.07399280178672782
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,0.07406542905859509,0.07825823061537976,10.773193180561066,11.191145833333334,536,converged,0.04051057592547605,4.0510575925476055e-06,0.0004051057592547605,0.01,0.07399280178672782
CG_SOC1_upgrade,1000,MOSEK,0.07399280178672782,0.07406619471199517,0.07825734680068833,9.113484557469686,9.363541666666666,535,converged,0.0004051057592547605,0.0004051057592547605,0.0004051057592547605,1.0,0.07399280178672782
