model,sample_size,solver,error_quad,fo_value,time,time_process,status,tau,kappa,alpha,theta
SOCP,100,MOSEK,127.05175034085374,1139.8423092942478,0.0212806502978007,0.03125,converged,583.1323368451003,583.1323368451003,1.0,583.1323368451003
SCIKIT_ElasticNet,100,coordinate descent,127.05152192292294,1139.8423153434812,0.0013109525044759116,0.0010416666666666667,converged,583.1323368451003,583.1323368451003,1.0,583.1323368451003
CG_SOC1_ElasticNet,100,MOSEK,127.05189133338307,1139.8422849752837,0.05145967404047648,0.08958333333333333,converged,583.1323368451003,583.1323368451003,1.0,583.1323368451003
SOCP,200,MOSEK,6.97938792971514,41.25730076760169,0.05815473000208537,0.0640625,converged,15.636566625387768,15.636566625387768,1.0,15.636566625387768
SCIKIT_ElasticNet,200,coordinate descent,6.979465675323643,41.25730098793656,0.03475746313730876,0.0328125,converged,15.636566625387768,15.636566625387768,1.0,15.636566625387768
CG_SOC1_ElasticNet,200,MOSEK,6.979386682413348,41.25730072253145,0.08993375698725382,0.14088541666666668,converged,15.636566625387768,15.636566625387768,1.0,15.636566625387768
SOCP,300,MOSEK,1.5980621062138172,3.5670848949226786,0.1088918129603068,0.11067708333333333,converged,0.44941088947337743,0.44941088947337743,1.0,0.44941088947337743
SCIKIT_ElasticNet,300,coordinate descent,1.5979315464236434,3.5670886316739163,1.1511049389839172,1.1088541666666667,converged,0.44941088947337743,0.44941088947337743,1.0,0.44941088947337743
CG_SOC1_ElasticNet,300,MOSEK,1.5980626885445666,3.5670860798208,0.2733288367589315,0.38828125,converged,0.44941088947337743,0.44941088947337743,1.0,0.44941088947337743
SOCP,400,MOSEK,0.5481771186172585,0.6783136735311109,0.1738286058108012,0.17734375,converged,0.013307716033415152,0.013307716033415152,1.0,0.013307716033415152
SCIKIT_ElasticNet,400,coordinate descent,0.5482483371965794,0.678377931887365,25.383965615431467,24.46484375,not converged,0.013307716033415152,0.013307716033415152,1.0,0.013307716033415152
CG_SOC1_ElasticNet,400,MOSEK,0.5481773568344483,0.6783136704915897,0.9288914998372396,1.11484375,converged,0.013307716033415152,0.013307716033415152,1.0,0.013307716033415152
SOCP,500,MOSEK,0.3295556361086162,0.3337104628444651,0.24434091250101725,0.25390625,converged,0.00042204472398131565,0.00042204472398131565,1.0,0.00042204472398131565
SCIKIT_ElasticNet,500,coordinate descent,0.32971373521879965,0.33386300186868284,34.30738080739975,32.57395833333333,not converged,0.00042204472398131565,0.00042204472398131565,1.0,0.00042204472398131565
CG_SOC1_ElasticNet,500,MOSEK,0.3295556499576821,0.3337104490504483,1.8411006291707357,1.8924479166666666,converged,0.00042204472398131565,0.00042204472398131565,1.0,0.00042204472398131565
