model,sample_size,solver,OLS_error_quad,error_quad,fo_value,time,time_process,n_betas,status,tau,kappa,lambda,alpha,theta
L_LASSO_scipy,500,L-BFGS-B,0.329540164107406,7.930031212821451,74.01316742498047,0.1986085573832194,0.21302083333333333,326,converged,27.94312278416301,27.94312278416301,27.94312278416301,1.0,0.329540164107406
L_LASSO_scipy,500,L-BFGS-B,0.329540164107406,2.58751106528582,11.734870367490778,0.19962060451507568,0.19713541666666667,282,converged,3.0345314742092353,3.0345314742092353,3.0345314742092353,1.0,0.329540164107406
L_LASSO_scipy,500,L-BFGS-B,0.329540164107406,2.092293259238458,5.7344601044449295,0.19943838516871135,0.19765625,294,converged,1.0,1.0,1.0,1.0,0.329540164107406
L_LASSO_scipy,500,L-BFGS-B,0.329540164107406,1.9211152232665056,3.245582471484576,0.1981088916460673,0.19557291666666668,295,converged,0.329540164107406,0.329540164107406,0.329540164107406,1.0,0.329540164107406
L_LASSO_scipy,500,L-BFGS-B,0.329540164107406,1.9698839422483445,2.1208014237171353,0.19970278739929198,0.19869791666666667,301,converged,0.035786980851215316,0.035786980851215316,0.035786980851215316,1.0,0.329540164107406
L_LASSO_scipy,1000,L-BFGS-B,0.07399280178672782,3521.9999999999995,3521.9999999999995,0.5360916058222452,0.5432291666666667,0,converged,2468.491195582154,2468.491195582154,2468.491195582154,1.0,0.07399280178672782
L_LASSO_scipy,1000,L-BFGS-B,0.07399280178672782,3.725142155943947,37.76863214155463,0.4246826767921448,0.39895833333333336,646,converged,13.514828143450181,13.514828143450181,13.514828143450181,1.0,0.07399280178672782
L_LASSO_scipy,1000,L-BFGS-B,0.07399280178672782,2.5104166479819288,5.605185088302891,0.4453268567721049,0.42083333333333334,662,converged,1.0,1.0,1.0,1.0,0.07399280178672782
L_LASSO_scipy,1000,L-BFGS-B,0.07399280178672782,2.1335842704196804,2.3728805795181755,0.3783517360687256,0.3690104166666667,665,converged,0.07399280178672782,0.07399280178672782,0.07399280178672782,1.0,0.07399280178672782
L_LASSO_scipy,1000,L-BFGS-B,0.07399280178672782,2.0863712410400157,2.087688363061427,0.4215922474861145,0.403125,665,converged,0.0004051057592547605,0.0004051057592547605,0.0004051057592547605,1.0,0.07399280178672782
L_LASSO_scipy,1500,L-BFGS-B,0.021776720499813204,3521.9999999999995,3521.9999999999995,1.2262593865394593,1.1934895833333334,0,converged,96832.81756425148,96832.81756425148,96832.81756425148,1.0,0.021776720499813204
L_LASSO_scipy,1500,L-BFGS-B,0.021776720499813204,9.187965015184789,119.50490793984451,0.5674508134524028,0.55390625,1093,converged,45.92059672201688,45.92059672201688,45.92059672201688,1.0,0.021776720499813204
L_LASSO_scipy,1500,L-BFGS-B,0.021776720499813204,3.063579295080663,6.028899272542581,0.5794687867164612,0.56015625,1019,converged,1.0,1.0,1.0,1.0,0.021776720499813204
L_LASSO_scipy,1500,L-BFGS-B,0.021776720499813204,3.1596427016315567,3.225182528211954,0.5651431401570638,0.5453125,1019,converged,0.021776720499813204,0.021776720499813204,0.021776720499813204,1.0,0.021776720499813204
L_LASSO_scipy,1500,L-BFGS-B,0.021776720499813204,3.1621409976367167,3.1621720890937306,0.5541548013687134,0.5265625,1020,converged,1.0327077380935135e-05,1.0327077380935135e-05,1.0327077380935135e-05,1.0,0.021776720499813204
L_LASSO_scipy,2000,L-BFGS-B,0.009645505470346457,3521.9999999999995,3521.9999999999995,2.038667134443919,1.9747395833333334,0,converged,1114358.7434942543,1114358.7434942543,1114358.7434942543,1.0,0.009645505470346457
L_LASSO_scipy,2000,L-BFGS-B,0.009645505470346457,19.331079209582317,266.61469760224554,0.7787373224894206,0.75703125,1465,converged,103.67523019652396,103.67523019652396,103.67523019652396,1.0,0.009645505470346457
L_LASSO_scipy,2000,L-BFGS-B,0.009645505470346457,6.878992406053067,9.659157805690736,0.7874631285667419,0.7557291666666667,1390,converged,1.0,1.0,1.0,1.0,0.009645505470346457
L_LASSO_scipy,2000,L-BFGS-B,0.009645505470346457,6.890432504441331,6.917369900507225,0.7855476180712382,0.7497395833333333,1387,converged,0.009645505470346457,0.009645505470346457,0.009645505470346457,1.0,0.009645505470346457
L_LASSO_scipy,2000,L-BFGS-B,0.009645505470346457,6.890597057954212,6.890599564206281,0.7805615981419881,0.7580729166666667,1387,converged,8.973770842092881e-07,8.973770842092881e-07,8.973770842092881e-07,1.0,0.009645505470346457
L_LASSO_scipy,2440,L-BFGS-B,0.0009312390251919185,3521.9999999999995,3521.9999999999995,2.9965471267700194,2.8776041666666665,0,converged,1238273267.7702703,1238273267.7702703,1238273267.7702703,1.0,0.0009312390251919185
L_LASSO_scipy,2440,L-BFGS-B,0.0009312390251919185,534.1206763316479,2204.327143770709,1.0004040161768595,0.95078125,1767,converged,1073.8381585693432,1073.8381585693432,1073.8381585693432,1.0,0.0009312390251919185
L_LASSO_scipy,2440,L-BFGS-B,0.0009312390251919185,9.339495270018311,11.999912969741793,1.0159021099408467,0.9604166666666667,1742,converged,1.0,1.0,1.0,1.0,0.0009312390251919185
L_LASSO_scipy,2440,L-BFGS-B,0.0009312390251919185,9.34906538690047,9.351548695762004,1.005606210231781,0.9479166666666666,1740,converged,0.0009312390251919185,0.0009312390251919185,0.0009312390251919185,1.0,0.0009312390251919185
L_LASSO_scipy,2440,L-BFGS-B,0.0009312390251919185,9.349086141221806,9.34908614337535,1.0024618665377298,0.96875,1740,converged,8.075761837293609e-10,8.075761837293609e-10,8.075761837293609e-10,1.0,0.0009312390251919185
