model,sample_size,solver,OLS_error_quad,error_quad,fo_value,time,time_process,n_betas,status,tau,kappa,lambda,alpha,theta
CG_LASSO_SOC1_v2,400,MOSEK,0.5395289951197689,3.8861881539845347,18.658977155005246,0.055243643124898274,0.16536458333333334,39,random_canonical,6.367304686454057,6.367304686454057,6.367304686454057,1.0,0.5395289951197689
CG_LASSO_SOC1_v2,400,MOSEK,0.5395289951197689,3.886187371040553,18.658976963929117,0.04471304019292196,0.13203125,39,random,6.367304686454057,6.367304686454057,6.367304686454057,1.0,0.5395289951197689
CG_LASSO_SOC1_v2,400,MOSEK,0.5395289951197689,3.88619061914314,18.658978570195558,0.05526963472366333,0.15390625,40,correlation,6.367304686454057,6.367304686454057,6.367304686454057,1.0,0.5395289951197689
CG_LASSO_SOC1_v2,400,MOSEK,0.5395289951197689,3.8861855439832946,18.65897845724052,0.04251491228739421,0.12369791666666667,39,ols,6.367304686454057,6.367304686454057,6.367304686454057,1.0,0.5395289951197689
CG_LASSO_SOC1_v2,400,MOSEK,0.5395289951197689,2.308799611779703,7.4739869188273556,0.0597082535425822,0.1484375,63,random_canonical,1.8534685050207766,1.8534685050207766,1.8534685050207766,1.0,0.5395289951197689
CG_LASSO_SOC1_v2,400,MOSEK,0.5395289951197689,2.3088013187707173,7.473986953843111,0.08005886872609456,0.20520833333333333,63,random,1.8534685050207766,1.8534685050207766,1.8534685050207766,1.0,0.5395289951197689
CG_LASSO_SOC1_v2,400,MOSEK,0.5395289951197689,2.3087972812075614,7.473986927032487,0.0598113218943278,0.16484375,63,correlation,1.8534685050207766,1.8534685050207766,1.8534685050207766,1.0,0.5395289951197689
CG_LASSO_SOC1_v2,400,MOSEK,0.5395289951197689,2.3087780316487403,7.4739869921059885,0.059164206186930336,0.15572916666666667,64,ols,1.8534685050207766,1.8534685050207766,1.8534685050207766,1.0,0.5395289951197689
CG_LASSO_SOC1_v2,400,MOSEK,0.5395289951197689,1.723717875004227,4.940565013374336,0.07587807178497315,0.19140625,83,random_canonical,1.0,1.0,1.0,1.0,0.5395289951197689
CG_LASSO_SOC1_v2,400,MOSEK,0.5395289951197689,1.723718022196882,4.940565100904375,0.1029007355372111,0.24166666666666667,84,random,1.0,1.0,1.0,1.0,0.5395289951197689
CG_LASSO_SOC1_v2,400,MOSEK,0.5395289951197689,1.723723631293668,4.940565636877339,0.08868101835250855,0.2,84,correlation,1.0,1.0,1.0,1.0,0.5395289951197689
CG_LASSO_SOC1_v2,400,MOSEK,0.5395289951197689,1.7237063250530085,4.940565097161439,0.08186978101730347,0.18984375,84,ols,1.0,1.0,1.0,1.0,0.5395289951197689
CG_LASSO_SOC1_v2,400,MOSEK,0.5395289951197689,1.310219278820058,3.3508805005884774,0.0778756300608317,0.19947916666666668,99,random_canonical,0.5395289951197689,0.5395289951197689,0.5395289951197689,1.0,0.5395289951197689
CG_LASSO_SOC1_v2,400,MOSEK,0.5395289951197689,1.3102010860646505,3.3508807092515305,0.10305972894032796,0.24557291666666667,99,random,0.5395289951197689,0.5395289951197689,0.5395289951197689,1.0,0.5395289951197689
CG_LASSO_SOC1_v2,400,MOSEK,0.5395289951197689,1.310221177722948,3.350880577625886,0.07746480703353882,0.20442708333333334,99,correlation,0.5395289951197689,0.5395289951197689,0.5395289951197689,1.0,0.5395289951197689
CG_LASSO_SOC1_v2,400,MOSEK,0.5395289951197689,1.310221158544321,3.3508804981533347,0.08693767786026001,0.19036458333333334,99,ols,0.5395289951197689,0.5395289951197689,0.5395289951197689,1.0,0.5395289951197689
CG_LASSO_SOC1_v2,400,MOSEK,0.5395289951197689,0.8039562750152205,1.677461530180309,0.13899421294530231,0.26901041666666664,133,random_canonical,0.15705232421615098,0.15705232421615098,0.15705232421615098,1.0,0.5395289951197689
CG_LASSO_SOC1_v2,400,MOSEK,0.5395289951197689,0.8039571365148602,1.6774615282219008,0.15955284039179485,0.3299479166666667,132,random,0.15705232421615098,0.15705232421615098,0.15705232421615098,1.0,0.5395289951197689
CG_LASSO_SOC1_v2,400,MOSEK,0.5395289951197689,0.803954838524114,1.6774615442909402,0.12617663542429605,0.28984375,133,correlation,0.15705232421615098,0.15705232421615098,0.15705232421615098,1.0,0.5395289951197689
CG_LASSO_SOC1_v2,400,MOSEK,0.5395289951197689,0.8039566414053225,1.6774615386479297,0.10164519945780436,0.2421875,132,ols,0.15705232421615098,0.15705232421615098,0.15705232421615098,1.0,0.5395289951197689
CG_LASSO_SOC1_v2,400,MOSEK,0.5395289951197689,0.5996653419188819,0.9583321322961684,0.19674668709437051,0.3651041666666667,173,random_canonical,0.045716602378746245,0.045716602378746245,0.045716602378746245,1.0,0.5395289951197689
CG_LASSO_SOC1_v2,400,MOSEK,0.5395289951197689,0.5996659600181687,0.958332141136213,0.19303194681803384,0.37734375,173,random,0.045716602378746245,0.045716602378746245,0.045716602378746245,1.0,0.5395289951197689
