model,n_row,m_col,solver,OLS_error_quad,error_quad,fo_value,time,time_process,k_iter,k_v_iter,n_betas,status,tau,kappa,lambda,alpha,theta,tau_exp
L_LASSO,10000,1000,MOSEK,4.699208925985124,4370.371921847309,8832.469376672649,3.5938955505688983,36.040104166666666,1,0,154,converged,4699.208925985124,4699.208925985124,4699.208925985124,1.0,4.699208925985124,-1
CG_LASSO_SOC1_v2,10000,1000,MOSEK,4.699208925985124,4370.381558461258,8832.46850908422,1.005723031361898,2.9171875,72,0,135,converged,4699.208925985124,4699.208925985124,4699.208925985124,1.0,4.699208925985124,-1
